Year,"Apparel manufacturing, total",Cut and sew apparel contractors,Men's and boys' cut and sew apparel,Women's and all other cut and sew apparel,All other apparel manufacturing
1990,"902,800","268,600","234,400","246,700","153,200"
1991,"876,900","262,600","228,400","237,400","148,500"
1992,"879,300","262,400","230,700","233,200","153,000"
1993,"857,300","253,000","226,700","223,800","153,900"
1994,"831,900","245,300","219,700","214,400","152,500"
1995,"791,100","233,300","207,100","202,400","148,200"
1996,"722,300","214,500","185,200","184,200","138,500"
1997,"680,800","204,100","171,200","173,300","132,200"
1998,"621,400","186,800","155,100","156,100","123,300"
1999,"540,500","163,500","129,300","136,400","111,300"
2000,"483,500","146,600","111,600","122,000","103,300"
2001,"415,200","123,400","95,200","104,800","91,800"
2002,"350,000","106,400","74,200","92,600","76,800"
2003,"303,900","94,200","61,200","79,300","69,300"
2004,"278,000","88,300","54,600","70,600","64,500"
2005,"250,500","79,500","48,700","65,200","57,100"
2006,"232,400","74,600","43,100","60,700","54,000"
2007,"214,600","66,300","39,400","59,900","49,000"
2008,"199,000","60,700","37,400","57,300","43,600"
2009,"167,500","49,900","31,300","50,800","35,500"
2010,"156,600","46,200","29,000","48,700","32,600"
2011,"151,800","45,300","29,500","48,700","28,300"
